fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:07:41 AM
VariableInfo
Name:,oxygraph2.Marker1
Size:,12 x 2
Type:,Numeric
Content:,Marker
Date:,2/26/2025 10:06:52 AM
Notes:,Marker saved by Oxygraph from files C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_02_01141708.oxy  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_02_01141708_C.mrk
Labels:,MARKER
VariableData
Marker,Marker
MarkerTime,MarkerType
13.591,-5
23.14,1
138.89,2
331.328,1
451.593,1
467.5,7
605.265,1
725.031,2
864.156,1
983.156,2
1118.203,1
1168.333,-1
