fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:16:53 AM
VariableInfo
Name:,lightgraph1.raw.Info1("TotalTime")
Size:,1 x 1
Type:,Numeric
Content:,Generic
Date:,2/26/2025 10:16:33 AM
Notes:,
Labels:,
VariableData
Generic

1696.852
