fnirSoft:,Exported CSV File
Version:,4.3
ExportDate:,2/26/2025 10:04:33 AM
VariableInfo
Name:,oxygraph1.Marker1
Size:,14 x 2
Type:,Numeric
Content:,Marker
Date:,2/26/2025 10:03:19 AM
Notes:,Marker saved by Oxygraph from files C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_01_01141630.oxy  C:\Users\NeuroLabPC_1\Documents\COBI Studio Data\sudeep data\Subject 01\SUB_01_01_01141630_C.mrk
Labels:,MARKER
VariableData
Marker,Marker
MarkerTime,MarkerType
14.341,-5
22.25,1
140.531,2
282.156,1
401.781,2
617,1
750.235,2
979.36,1
1098.625,2
1267.063,1
1387.453,2
1531.797,1
1651.594,1
1704.619,-1
